year_week,year_month,city,booking_id,created_datetime,request_start_datetime,request_end_datetime,member_id,member_age,member_gender,car_id,car_age,car_type,car_brand,car_model,car_insured_value
2022-22,2022-06,KV,252948,06/01/2022,06/05/2022,06/07/2022,8911,38,male,25332,8,sedan,Nissan,SYLPHY,38000
2022-24,2022-06,KV,262078,6/14/2022 14:10:11,6/18/2022 10:00:00,6/20/2022 10:00:00,8911,38,male,25332,8,sedan,Nissan,SYLPHY,38000
2022-14,2022-04,KV,208667,04/06/2022,04/09/2022,04/10/2022,8911,38,male,11127,11,sedan,Kia,FORTE,22000
2022-26,2022-06,KV,271292,6/27/2022 17:17:59,6/28/2022 16:30:00,6/29/2022 16:30:00,8911,38,male,11127,11,sedan,Kia,FORTE,22000
2022-16,2022-04,KV,217730,4/19/2022 13:19:12,4/21/2022 21:00:00,4/24/2022 21:00:00,8911,38,male,21996,5,hatchback,Perodua,AXIA,24600
2022-18,2022-05,KV,233665,05/08/2022,5/14/2022 20:30:00,5/15/2022 20:30:00,8911,38,male,26356,9,sedan,Toyota,VIOS,34500
2022-10,2022-03,KV,192816,3/13/2022 20:54:19,3/16/2022 20:30:00,3/20/2022 21:00:00,8911,38,male,21778,8,hatchback,Perodua,AXIA,16000
2022-18,2022-05,KV,229441,05/02/2022,05/07/2022,05/08/2022,8911,38,male,1445,11,hatchback,Perodua,MYVI,22000
2022-22,2022-06,KV,254822,06/04/2022,06/07/2022,06/08/2022,9165,23,male,29598,6,mpv,Toyota,ALPHARD,200000
2022-01,2022-01,KV,155152,01/03/2022,01/05/2022,01/06/2022,9318,28,female,1305,7,pickup,Isuzu,D MAX 4X2,34000
2022-05,2022-02,KV,172983,02/05/2022,02/06/2022,02/07/2022,9775,28,female,26518,6,suv,Honda,HRV,66000
2022-16,2022-04,KV,220488,4/22/2022 12:36:30,4/30/2022 12:30:00,05/09/2022,10180,37,male,7733,7,sedan,Kia,K5,59000
2022-04,2022-01,KK,166113,1/24/2022 22:27:48,1/30/2022 16:00:00,02/03/2022,10334,42,male,27581,6,mpv,Proton,ERTIGA,31000
2022-15,2022-04,KK,216115,4/17/2022 13:03:42,4/22/2022 14:30:00,4/25/2022 10:30:00,10334,42,male,29135,2,hatchback,Toyota,YARIS,75000
2022-17,2022-04,KV,225920,4/28/2022 9:13:58,05/07/2022,05/12/2022,11033,33,male,22860,5,mpv,Proton,EXORA,34600
2022-03,2022-01,KV,164069,1/21/2022 1:49:30,1/31/2022 12:00:00,02/02/2022,11033,33,male,1655,3,sedan,Proton,PERSONA,36000
2022-04,2022-01,KV,169502,1/30/2022 16:00:43,02/05/2022,02/06/2022,11033,33,male,1655,3,sedan,Proton,PERSONA,36000
2022-05,2022-02,KV,171540,02/03/2022,02/06/2022,02/09/2022,11033,33,male,1655,3,sedan,Proton,PERSONA,36000
2022-08,2022-02,KV,181725,2/23/2022 21:27:29,2/26/2022 10:00:00,2/27/2022 10:00:00,11033,33,male,1655,3,sedan,Proton,PERSONA,36000
2022-09,2022-03,KV,185234,03/01/2022,03/02/2022,03/03/2022,11033,33,male,1655,3,sedan,Proton,PERSONA,36000
2022-12,2022-03,KV,198355,3/22/2022 17:28:05,3/28/2022 15:00:00,3/29/2022 15:00:00,11033,33,male,1655,3,sedan,Proton,PERSONA,36000
2022-16,2022-04,KV,217660,4/19/2022 12:04:28,4/23/2022 18:00:00,4/27/2022 18:00:00,11033,33,male,866,4,sedan,Honda,CITY,61000
2022-21,2022-05,PGM,247070,5/25/2022 13:52:56,5/28/2022 17:00:00,06/01/2022,11033,33,male,9644,12,mpv,Perodua,ALZA,32000
2022-03,2022-01,KK,165302,1/23/2022 11:18:43,1/23/2022 18:00:00,1/24/2022 18:00:00,11558,33,female,20191,2,hatchback,Perodua,AXIA,38000
2022-03,2022-01,KV,164297,1/21/2022 14:06:17,1/25/2022 11:00:00,1/26/2022 11:00:00,11630,23,male,1306,8,hatchback,Perodua,MYVI,20400
2022-12,2022-03,KV,198093,3/22/2022 10:41:29,3/24/2022 9:30:00,3/25/2022 9:30:00,11630,23,male,27438,7,sedan,Perodua,MYVI,27000
2022-25,2022-06,JB,268259,6/23/2022 12:05:23,6/24/2022 8:00:00,6/26/2022 8:00:00,12077,34,male,35608,6,mpv,Toyota,VELLFIRE,200000
2022-10,2022-03,JB,192635,3/13/2022 15:14:20,3/15/2022 16:00:00,3/17/2022 16:00:00,12077,34,male,26643,3,suv,Proton,X70,102500
2022-05,2022-02,KV,173168,02/06/2022,2/19/2022 9:00:00,2/20/2022 21:00:00,12210,25,male,2275,3,sedan,Toyota,VIOS,74000
2022-20,2022-05,PGI,241826,5/18/2022 15:26:12,6/26/2022 9:00:00,6/29/2022 9:00:00,13261,21,male,33151,9,mpv,Perodua,ALZA,24900
2022-18,2022-05,LGK,230871,05/04/2022,05/05/2022,05/08/2022,13584,33,female,33493,7,sedan,Toyota,VIOS,37000
2022-16,2022-04,KV,222840,4/24/2022 19:42:24,05/03/2022,05/04/2022,14465,29,male,29315,2,sedan,Nissan,LEAF,145000
2022-14,2022-04,KV,209926,04/08/2022,04/09/2022,05/09/2022,16801,31,male,16974,8,mpv,Toyota,VELLFIRE,160000
2021-52,2022-01,IP,154588,01/02/2022,01/02/2022,01/04/2022,17430,36,male,16076,3,sedan,Proton,SAGA,31000
2022-04,2022-01,KV,167219,1/26/2022 23:06:58,1/29/2022 9:00:00,1/29/2022 21:00:00,17430,36,male,27509,7,sedan,Nissan,ALMERA,25000
2022-08,2022-02,KV,183392,2/26/2022 15:54:37,2/28/2022 9:00:00,2/28/2022 21:00:00,17430,36,male,27509,7,sedan,Nissan,ALMERA,25000
2022-11,2022-03,KV,196037,3/18/2022 20:23:35,3/18/2022 23:30:00,3/20/2022 22:00:00,19215,29,male,28272,8,sedan,Mercedes-Benz,E300,130000
2022-13,2022-04,KV,206349,04/02/2022,04/02/2022,04/03/2022,19325,23,female,31895,9,sedan,Toyota,ALTIS,45000
2022-13,2022-04,KV,206823,04/03/2022,04/03/2022,04/04/2022,19325,23,female,31895,9,sedan,Toyota,ALTIS,45000
2022-15,2022-04,KV,212939,4/13/2022 11:24:49,4/30/2022 20:30:00,05/03/2022,19325,23,female,31895,9,sedan,Toyota,ALTIS,45000
2022-03,2022-01,KV,163169,1/19/2022 14:59:48,02/04/2022,02/06/2022,20473,26,male,16974,8,mpv,Toyota,VELLFIRE,160000
2022-18,2022-05,KV,231776,05/06/2022,5/13/2022 10:00:00,5/15/2022 10:00:00,20624,33,male,26901,12,mpv,Toyota,VELLFIRE,89000
2022-19,2022-05,KV,234698,05/10/2022,5/15/2022 13:30:00,5/17/2022 13:30:00,20624,33,male,26901,12,mpv,Toyota,VELLFIRE,89000
2022-19,2022-05,KV,235491,05/11/2022,05/12/2022,05/12/2022,20624,33,male,26901,12,mpv,Toyota,VELLFIRE,89000
2022-20,2022-05,KV,240597,5/17/2022 9:19:02,5/17/2022 14:30:00,5/18/2022 14:30:00,20624,33,male,15517,7,hatchback,Mercedes-Benz,A200,103000
2022-13,2022-04,PGI,206069,04/02/2022,4/22/2022 20:00:00,4/25/2022 20:00:00,22202,33,male,29609,4,mpv,Proton,EXORA,45000
2022-19,2022-05,KV,235722,05/11/2022,5/15/2022 8:00:00,5/15/2022 20:30:00,23034,22,male,21214,7,hatchback,Perodua,MYVI,22000
2022-25,2022-06,KV,270805,6/26/2022 21:53:53,07/02/2022,07/02/2022,23034,22,male,28301,9,sedan,Proton,SAGA,12000
2022-23,2022-06,KV,258467,06/09/2022,06/11/2022,06/11/2022,23034,22,male,35479,9,sedan,Proton,PERSONA,15000
2022-03,2022-01,KV,162398,1/17/2022 23:07:50,1/19/2022 21:00:00,1/20/2022 21:00:00,23605,29,male,25661,6,mpv,Perodua,ALZA,34000
2022-07,2022-02,KV,177063,2/14/2022 10:06:50,2/14/2022 23:30:00,2/15/2022 23:30:00,23605,29,male,20107,7,sedan,Hyundai,ELANTRA,41000
2022-08,2022-02,KV,180801,2/21/2022 21:48:35,2/23/2022 23:30:00,2/24/2022 23:30:00,23605,29,male,20107,7,sedan,Hyundai,ELANTRA,41000
2022-14,2022-04,KV,210725,04/09/2022,4/13/2022 23:30:00,4/14/2022 23:30:00,23605,29,male,20107,7,sedan,Hyundai,ELANTRA,41000
2022-01,2022-01,NS,155804,01/04/2022,01/05/2022,01/06/2022,23605,29,male,18225,7,hatchback,Perodua,MYVI,21000
2022-11,2022-03,KV,195117,3/17/2022 14:59:17,3/17/2022 18:00:00,3/19/2022 18:00:00,23605,29,male,13232,3,sedan,Perodua,BEZZA,48000
2022-19,2022-05,LGK,237017,5/13/2022 0:29:18,5/13/2022 15:00:00,5/15/2022 11:30:00,23874,45,female,32077,7,sedan,Mitsubishi,ATTRAGE,22000
2022-17,2022-04,LGK,224015,4/25/2022 23:14:17,05/07/2022,05/10/2022,24939,30,female,32456,5,sedan,Nissan,ALMERA,25000
2022-01,2022-01,KV,155372,01/03/2022,01/04/2022,01/06/2022,25099,45,female,4572,9,sedan,Toyota,VIOS,29000
2022-12,2022-03,KV,198720,3/23/2022 9:40:39,3/23/2022 13:00:00,3/24/2022 12:00:00,25099,45,female,2702,6,suv,Honda,BRV,60000
2022-13,2022-03,KV,203208,3/29/2022 13:10:21,3/29/2022 16:30:00,3/30/2022 12:00:00,25099,45,female,2702,6,suv,Honda,BRV,60000
2022-01,2022-01,KV,157127,01/07/2022,01/08/2022,1/28/2022 10:00:00,25232,23,male,19972,2,hatchback,Perodua,MYVI,48000
2022-14,2022-04,KV,208925,04/07/2022,04/08/2022,04/09/2022,25232,23,male,25297,2,sedan,Honda,CITY,81000
2022-06,2022-02,KV,175009,02/10/2022,02/10/2022,02/11/2022,25232,23,male,9850,6,sedan,Nissan,ALMERA,43000
2022-16,2022-04,KV,221568,4/23/2022 11:58:21,4/25/2022 9:00:00,4/29/2022 8:30:00,25232,23,male,20392,6,sedan,Toyota,ALTIS,71000
2022-10,2022-03,PGI,189204,03/08/2022,03/08/2022,03/09/2022,25247,27,male,6567,5,sedan,Perodua,BEZZA,27100
2022-06,2022-02,KV,175268,02/10/2022,2/16/2022 9:00:00,2/18/2022 19:00:00,25280,35,female,5792,3,mpv,Hyundai,STAREX,134000
2022-05,2022-02,KV,172023,02/04/2022,02/08/2022,02/10/2022,26297,51,male,14234,6,hatchback,Perodua,MYVI,29000
2022-05,2022-02,KV,172009,02/04/2022,02/10/2022,2/13/2022 10:00:00,26297,51,male,26245,4,sedan,Perodua,BEZZA,29000
2022-19,2022-05,JB,238327,5/14/2022 13:46:18,5/20/2022 20:00:00,5/21/2022 20:00:00,26629,25,male,19500,8,hatchback,Perodua,MYVI,21000
2022-16,2022-04,KV,219128,4/20/2022 23:28:23,4/21/2022 21:00:00,4/24/2022 21:00:00,26769,26,male,22119,2,sedan,Proton,PERSONA,61000
2022-25,2022-06,KV,267231,6/21/2022 21:50:54,6/22/2022 18:00:00,6/27/2022 18:00:00,26769,26,male,22119,2,sedan,Proton,PERSONA,61000
2022-25,2022-06,KV,269587,6/24/2022 23:43:35,6/27/2022 21:30:00,6/28/2022 20:00:00,26769,26,male,22119,2,sedan,Proton,PERSONA,61000
2022-26,2022-06,KV,271986,6/28/2022 15:38:28,6/29/2022 16:00:00,07/03/2022,26769,26,male,22119,2,sedan,Proton,PERSONA,61000
2022-19,2022-05,KV,235403,05/11/2022,05/12/2022,5/15/2022 12:00:00,26945,36,male,27413,9,sedan,Toyota,VIOS,37400
2022-20,2022-05,KV,241016,5/17/2022 14:42:52,5/18/2022 10:00:00,5/19/2022 20:00:00,26945,36,male,27819,2,sedan,Proton,SAGA,27000
2022-21,2022-05,KV,248839,5/27/2022 14:40:40,5/30/2022 9:30:00,5/30/2022 21:00:00,26945,36,male,25164,5,mpv,Toyota,INNOVA,69900
2022-22,2022-06,KV,253345,06/02/2022,06/04/2022,06/05/2022,26945,36,male,31895,9,sedan,Toyota,ALTIS,45000
2022-24,2022-06,KV,261422,6/13/2022 12:55:18,6/15/2022 10:00:00,6/16/2022 21:00:00,26945,36,male,31895,9,sedan,Toyota,ALTIS,45000
2022-14,2022-04,KV,210775,04/09/2022,04/11/2022,4/17/2022 21:00:00,26945,36,male,28396,10,sedan,Mercedes-Benz,E250,86000
2022-20,2022-05,KV,244735,5/22/2022 6:48:25,5/23/2022 9:00:00,5/23/2022 22:00:00,26945,36,male,28396,10,sedan,Mercedes-Benz,E250,86000
2022-14,2022-04,IP,208289,04/06/2022,04/06/2022,04/07/2022,27004,25,male,22179,5,hatchback,Proton,IRIZ,28000
2022-10,2022-03,KV,188725,03/07/2022,03/09/2022,03/10/2022,27642,21,male,21897,5,hatchback,BMW,120I,88000
2022-19,2022-05,KV,235396,05/11/2022,05/11/2022,05/11/2022,27979,31,female,27790,5,mpv,Perodua,ALZA,40000
2022-19,2022-05,KV,235093,05/10/2022,5/15/2022 9:00:00,5/16/2022 9:00:00,28359,37,male,20069,3,suv,Renault,ðŸŒ™ðŸ•ŒKOLEOSðŸ•ŒðŸŒ™,157000
2022-20,2022-05,KV,240027,5/16/2022 12:47:16,5/22/2022 9:00:00,5/23/2022 9:00:00,28359,37,male,20069,3,suv,Renault,ðŸŒ™ðŸ•ŒKOLEOSðŸ•ŒðŸŒ™,157000
2022-20,2022-05,KV,240487,5/17/2022 0:37:14,5/29/2022 9:00:00,5/30/2022 9:00:00,28359,37,male,20069,3,suv,Renault,ðŸŒ™ðŸ•ŒKOLEOSðŸ•ŒðŸŒ™,157000
2022-04,2022-01,KV,168980,1/29/2022 19:56:12,02/12/2022,02/12/2022,28359,37,male,21258,5,suv,Porsche,MACAN GTS,250000
2022-04,2022-01,KV,168981,1/29/2022 19:59:49,2/13/2022 6:00:00,2/13/2022 21:00:00,28359,37,male,21258,5,suv,Porsche,MACAN GTS,250000
2022-05,2022-02,KV,171040,02/02/2022,2/20/2022 9:00:00,2/20/2022 21:00:00,28359,37,male,21258,5,suv,Porsche,MACAN GTS,250000
2022-09,2022-03,KV,185823,03/02/2022,03/05/2022,03/07/2022,28359,37,male,21258,5,suv,Porsche,MACAN GTS,250000
2022-13,2022-03,KV,203239,3/29/2022 13:59:58,04/01/2022,04/02/2022,28359,37,male,21258,5,suv,Porsche,MACAN GTS,250000
2022-22,2022-06,KV,254090,06/03/2022,06/11/2022,6/14/2022 9:00:00,28359,37,male,21258,5,suv,Porsche,MACAN GTS,250000
2022-15,2022-04,KV,213917,4/14/2022 16:37:34,4/15/2022 10:00:00,4/16/2022 10:00:00,28485,38,male,26901,12,mpv,Toyota,VELLFIRE,89000
2022-09,2022-03,KV,186996,03/04/2022,03/06/2022,03/07/2022,28599,31,male,25019,10,sedan,BMW,5 251,5000
2022-25,2022-06,KV,267008,6/21/2022 16:31:21,6/25/2022 6:30:00,6/26/2022 6:30:00,30802,24,male,35929,5,suv,Toyota,FORTUNER,115000
2022-20,2022-05,KV,242261,5/19/2022 1:23:57,5/20/2022 10:00:00,5/20/2022 18:00:00,31405,24,female,27174,2,sedan,Perodua,MYVI,52000
2022-15,2022-04,KV,216152,4/17/2022 13:43:25,05/01/2022,05/10/2022,32305,37,male,16726,2,sedan,Perodua,BEZZA,33000
2022-06,2022-02,KV,174581,02/09/2022,02/11/2022,2/13/2022 15:30:00,32305,37,male,58,4,sedan,Perodua,BEZZA,32000
2022-12,2022-03,KV,199148,3/23/2022 21:33:32,3/25/2022 20:30:00,3/27/2022 20:30:00,32518,32,female,18943,6,sedan,Perodua,BEZZA,26000
2022-04,2022-01,KV,166490,1/25/2022 18:27:40,1/30/2022 9:00:00,1/30/2022 21:00:00,32518,32,female,27438,7,sedan,Perodua,MYVI,27000
2022-24,2022-06,KV,265789,6/19/2022 20:05:44,6/23/2022 10:00:00,6/24/2022 10:00:00,32518,32,female,21707,5,sedan,Perodua,BEZZA,34000
2022-04,2022-01,KV,168350,1/28/2022 21:21:04,1/29/2022 9:00:00,1/30/2022 9:00:00,32539,29,female,27222,7,hatchback,Perodua,AXIA,31000
2022-09,2022-03,KK,186764,03/03/2022,03/04/2022,03/05/2022,32680,24,male,2715,4,mpv,Hyundai,STAREX,125000
2022-02,2022-01,KV,160278,1/14/2022 8:23:12,1/20/2022 14:30:00,1/25/2022 14:30:00,32968,36,male,1036,8,hatchback,Proton,IRIZ,20000
2022-10,2022-03,KV,189955,03/09/2022,03/11/2022,03/12/2022,33008,57,female,27816,10,sedan,Toyota,VIOS,30000
2022-15,2022-04,KV,216450,4/17/2022 22:28:09,5/13/2022 9:00:00,5/16/2022 9:00:00,33222,58,male,28817,5,sedan,Perodua,AXIA,27000
2022-26,2022-06,KV,270949,6/27/2022 8:02:42,6/27/2022 13:30:00,6/30/2022 23:30:00,33816,34,male,36045,4,suv,Honda,CRV,119000
2022-21,2022-05,KV,246039,5/24/2022 6:08:57,06/03/2022,06/07/2022,33935,45,male,30484,4,mpv,Maxus,G10 SE,103000
2022-21,2022-05,KV,248862,5/27/2022 14:59:11,06/11/2022,6/16/2022 19:00:00,34419,26,female,33740,7,suv,Mitsubishi,ðŸŒ™ðŸ•ŒASX 2WDðŸ•ŒðŸŒ™,34100
2022-24,2022-06,KV,263498,6/16/2022 15:49:37,6/17/2022 11:00:00,6/21/2022 19:00:00,34419,26,female,33740,7,suv,Mitsubishi,ðŸŒ™ðŸ•ŒASX 2WDðŸ•ŒðŸŒ™,34100
2022-09,2022-02,KV,184308,2/28/2022 6:05:45,03/04/2022,03/06/2022,34419,26,female,28724,4,suv,Toyota,RUSH,69000
2022-09,2022-03,KV,186216,03/03/2022,03/11/2022,3/14/2022 10:00:00,34419,26,female,28724,4,suv,Toyota,RUSH,69000
2022-09,2022-03,KV,188015,03/05/2022,03/06/2022,03/07/2022,34419,26,female,28724,4,suv,Toyota,RUSH,69000
2022-07,2022-02,KV,177838,2/16/2022 0:35:21,2/18/2022 17:30:00,2/20/2022 17:00:00,34419,26,female,27460,4,mpv,Toyota,RUSH,78000
2022-25,2022-06,KV,267097,6/21/2022 18:38:03,6/22/2022 12:00:00,6/23/2022 15:00:00,34419,26,female,33508,4,suv,Toyota,RUSH,71000
2022-11,2022-03,KV,193159,3/14/2022 15:34:23,3/15/2022 11:00:00,3/16/2022 15:30:00,34419,26,female,8572,10,suv,Kia,ðŸŒ™ðŸ•ŒSPORTAGE  2.0ðŸŒ™,38800
2022-06,2022-02,KV,174750,02/09/2022,02/12/2022,2/13/2022 17:00:00,34419,26,female,27274,4,suv,Honda,HRV,89000
2022-10,2022-03,KV,189698,03/08/2022,03/09/2022,03/10/2022,34419,26,female,28841,8,mpv,Hyundai,SANTA FE,57000
2022-13,2022-03,KV,203380,3/29/2022 17:16:31,4/30/2022 12:00:00,05/06/2022,34461,35,male,848,4,suv,Perodua,ARUZ,56000
2022-26,2022-06,KV,273141,6/30/2022 0:31:38,6/30/2022 8:00:00,07/01/2022,34570,24,female,28863,7,sedan,Perodua,BEZZA,29000
2022-19,2022-05,KV,238636,5/14/2022 19:32:58,5/17/2022 11:00:00,5/18/2022 11:00:00,34989,31,male,28232,2,pickup,Mitsubishi,TRITON ADVENTURE X 2.4,137000
2022-04,2022-01,KV,168347,1/28/2022 21:12:05,02/03/2022,02/07/2022,35713,44,male,27815,8,mpv,Proton,EXORA,37000
2022-10,2022-03,KV,191641,03/11/2022,03/12/2022,3/16/2022 13:00:00,35713,44,male,18950,9,mpv,Toyota,INNOVA,44000
2022-25,2022-06,KV,268218,6/23/2022 11:11:09,6/26/2022 9:00:00,07/01/2022,35817,24,male,21924,2,sedan,Proton,SAGA,38000
2022-12,2022-03,KV,198354,3/22/2022 17:27:15,3/23/2022 12:30:00,3/24/2022 13:00:00,35839,27,female,28986,3,sedan,Proton,SAGA,34000
2022-11,2022-03,KV,195978,3/18/2022 18:37:40,3/20/2022 12:00:00,3/23/2022 12:00:00,35839,27,female,24675,5,hatchback,Perodua,AXIA,24000
2022-24,2022-06,KV,263445,6/16/2022 14:36:27,6/17/2022 9:30:00,6/18/2022 9:30:00,35905,29,female,19268,6,sedan,Toyota,VIOS,35000
2022-07,2022-02,KV,179790,2/19/2022 20:01:53,2/20/2022 9:30:00,2/24/2022 9:30:00,36236,45,male,28069,2,sedan,Honda,CIVIC,125000
2022-17,2022-04,KV,225028,4/27/2022 2:06:51,5/13/2022 16:00:00,5/24/2022 12:30:00,36460,24,male,27881,4,sedan,Perodua,BEZZA,32000
2022-20,2022-05,KV,241433,5/18/2022 0:13:56,5/25/2022 15:30:00,6/13/2022 15:30:00,36460,24,male,31239,9,sedan,Proton,IRIZ,31000
2022-24,2022-06,KV,264761,6/18/2022 8:59:24,6/18/2022 14:00:00,6/18/2022 18:00:00,36771,47,male,35510,11,sedan,Kia,K5,36600
2022-21,2022-05,KV,248800,5/27/2022 13:46:29,5/28/2022 12:00:00,5/29/2022 12:00:00,36846,28,male,21897,5,hatchback,BMW,120I,88000
2022-06,2022-02,KV,173539,02/07/2022,02/08/2022,02/09/2022,37037,42,male,1646,4,mpv,Proton,EXORA,45000
2022-10,2022-03,KV,190258,03/09/2022,3/19/2022 9:00:00,3/20/2022 21:00:00,37037,42,male,28724,4,suv,Toyota,RUSH,69000
2022-11,2022-03,KV,194399,3/16/2022 14:13:05,3/21/2022 6:00:00,3/21/2022 21:00:00,37037,42,male,28724,4,suv,Toyota,RUSH,69000
2022-20,2022-05,KV,241915,5/18/2022 17:36:55,5/22/2022 9:00:00,5/23/2022 9:00:00,37037,42,male,28724,4,suv,Toyota,RUSH,69000
2021-52,2022-01,KV,154762,01/02/2022,1/22/2022 9:00:00,1/24/2022 9:30:00,37037,42,male,25164,5,mpv,Toyota,INNOVA,69900
2022-10,2022-03,KV,190246,03/09/2022,03/12/2022,3/14/2022 8:30:00,37037,42,male,25164,5,mpv,Toyota,INNOVA,69900
2022-12,2022-03,KV,197392,3/21/2022 2:19:37,3/30/2022 12:00:00,04/02/2022,37037,42,male,25164,5,mpv,Toyota,INNOVA,69900
2022-17,2022-04,KV,225276,4/27/2022 12:33:49,4/28/2022 21:00:00,4/30/2022 21:00:00,37037,42,male,19266,6,sedan,Toyota,VIOS,35000
