booking_id,member_id,gross_revenue,net_revenue,rental_fee,SCDW_fee,delivery_fee,coupon_code
154366,712209,457,457,447,0,10,Z - No Promo Used
154367,202547,92,62,92,0,0,LUVTREVO
154369,23558,180,147,165,0,15,DRIVEON20
154372,712174,170,147.5,150,0,20,DRIVEON15
154374,326037,145.5,124.8,138,0,7.5,DRIVEON15
154376,34127,62.5,62.5,55,0,7.5,Z - No Promo Used
154378,488279,136,70.5,131,0,5,JOMTREVO50
154379,605560,786,586,776,0,10,JOMTREVO50
154381,634500,460,260,440,0,20,JOMTREVO50
154383,486892,576.5,463.7,564,0,12.5,DRIVEON20
154384,698089,190,154,180,0,10,DRIVEON20
154390,203352,110,80,110,0,0,LUVTREVO
154393,198074,550,330,550,0,0,BEGIN40
154396,712641,425,425,415,0,10,Z - No Promo Used
154400,360122,450,290,400,40,10,BEGIN40
154404,608659,315,165,300,0,15,JOMTREVO50
154405,222854,129,110.4,124,0,5,DRIVEON15
154411,63961,149,126.65,149,0,0,DRIVEON15
154419,411557,308,159,298,0,10,JOMTREVO50
154425,496692,151,130.6,136,0,15,DRIVEON15
154426,588015,185,151,170,0,15,DRIVEON20
154429,453904,198,141.6,188,0,10,JOMTREVO30
154434,39468,495,303,480,0,15,BEGIN40
154435,412581,503,303,488,0,15,JOMTREVO50
154437,79603,440,264,440,0,0,BEGIN40
154439,88928,110,95.75,95,0,15,DRIVEON15
154456,685501,81.5,81.5,74,0,7.5,Z - No Promo Used
154462,645468,356.25,356.25,341.25,0,15,Z - No Promo Used
154468,636438,600,360,600,0,0,BEGIN40
154469,618387,550,330,550,0,0,BEGIN40
154470,543463,165,135,150,0,15,DRIVEON20
154471,631124,550,330,550,0,0,BEGIN40
154487,585747,616,369.6,616,0,0,BEGIN40
154489,39195,600,360,600,0,0,BEGIN40
154490,485085,235,235,225,0,10,Z - No Promo Used
154498,638636,294,249.9,294,0,0,DRIVEON15
154499,15136,700,450,700,0,0,BEGIN40
154509,27707,999,849,984,0,15,DRIVEON20
154511,703713,104,104,99,0,5,Z - No Promo Used
154514,44726,196,160.8,176,0,20,DRIVEON20
154516,356319,208,170.4,188,0,20,DRIVEON20
154517,524193,129,64.5,129,0,0,JOMTREVO50
154521,44368,216,172.8,216,0,0,DRIVEON20
154523,440825,292,207.4,282,0,10,JOMTREVO30
154524,589909,120,102.75,115,0,5,DRIVEON15
154526,129849,565,345,550,0,15,BEGIN40
154531,562965,266.5,190.3,254,0,12.5,BEGIN30
154532,614221,169,138.2,154,0,15,DRIVEON20
154533,713185,250,200,250,0,0,DRIVEON20
154534,497627,198,198,198,0,0,Z - No Promo Used
154540,284293,89,75.65,89,0,0,DRIVEON15
154548,696307,305,260,300,0,5,DRIVEON15
154549,42407,92,80.45,77,0,15,DRIVEON15
154550,61272,165,132,165,0,0,DRIVEON20
154557,19164,147,147,132,0,15,Z - No Promo Used
154558,679773,158,86.5,143,0,15,JOMTREVO50
154560,629191,88,76.3,78,0,10,DRIVEON15
154561,436680,211,152.2,196,0,15,JOMTREVO30
154562,647396,969.5,769.5,952,0,17.5,JOMTREVO50
154572,64278,140,120.5,130,0,10,DRIVEON15
154576,41360,209,169.2,199,0,10,DRIVEON20
154578,553746,575,325,550,0,25,HOLIYAY50
154580,66386,170,138,160,0,10,DRIVEON20
154585,695920,125,107.75,115,0,10,DRIVEON15
154588,17430,230,120,220,0,10,HELLOIPOH50
154589,690032,345,241.5,345,0,0,BEGIN30
154591,594682,175,92.5,165,0,10,JOMTREVO50
154595,633813,140,70,140,0,0,JOMTREVO50
154599,560486,1775,1575,1775,0,0,JOMTREVO50
154602,90619,420,260,400,0,20,BEGIN40
154603,101518,150,120,150,0,0,DRIVEON20
154611,165426,213,173.4,198,0,15,DRIVEON20
154612,198074,550,330,550,0,0,BEGIN40
154613,713185,450,270,450,0,0,BEGIN40
154618,154276,360,258,340,0,20,BEGIN30
154619,425720,242,193.6,242,0,0,DRIVEON20
154622,643711,104,75.8,94,0,10,JOMTREVO30
154625,646041,109,80.8,94,0,15,JOMTREVO30
154626,626265,341,341,341,0,0,Z - No Promo Used
154636,158648,297,207.9,297,0,0,BEGIN30
154642,90142,189,136.8,174,0,15,DRIVEON30
154645,201377,165,165,150,0,15,Z - No Promo Used
154646,714266,602,602,592,0,10,Z - No Promo Used
154649,484817,245,209,240,0,5,DRIVEON15
154650,571159,120,103.5,110,0,10,DRIVEON15
154651,280810,76,65.35,71,0,5,DRIVEON15
154652,691698,450,450,440,0,10,Z - No Promo Used
154654,42225,66,56.1,66,0,0,DRIVEON15
154659,408814,132,132,132,0,0,Z - No Promo Used
154661,501128,760,560,750,0,10,JOMTREVO50
154665,88414,300,214.5,285,0,15,DRIVEON30
154666,688843,193,193,188,0,5,Z - No Promo Used
154670,520643,208,208,198,0,10,Z - No Promo Used
154675,296395,310,250,300,0,10,DRIVEON20
154681,169816,285,204,270,0,15,BEGIN30
154688,659034,270,270,260,0,10,Z - No Promo Used
154689,444054,218,218,218,0,0,Z - No Promo Used
154694,225876,152.5,152.5,140,0,12.5,Z - No Promo Used
154695,1170,218,178.4,198,0,20,DRIVEON20
154696,56796,362,292.6,347,0,15,DRIVEON20
154700,687152,260,260,230,0,30,Z - No Promo Used
154706,64656,400,400,400,0,0,Z - No Promo Used
154714,615853,405,212.5,385,0,20,JOMTREVO50
154720,195060,196,160.8,176,0,20,DRIVEON20
154721,87226,784,534,769,0,15,BEGIN40
154722,138047,75,75,65,0,10,Z - No Promo Used
154723,650236,270,270,260,0,10,Z - No Promo Used
154725,714950,535,430,525,0,10,DRIVEON20
154726,714790,522,432.6,447,45,30,DRIVEON20
154728,326575,145,145,130,0,15,Z - No Promo Used
154730,315946,425,225,420,0,5,JOMTREVO50
154732,379847,66,36,66,0,0,LUVTREVO
154735,151071,300,210,300,0,0,BEGIN30
154736,168993,697,447,682,0,15,BEGIN40
154743,623504,220,178,210,0,10,DRIVEON20
154745,708817,124,124,119,0,5,Z - No Promo Used
154748,274671,830,680,800,0,30,DRIVEON20
154754,687430,350,282,340,0,10,DRIVEON20
154758,691612,223,223,213,0,10,Z - No Promo Used
154759,20323,95,95,95,0,0,Z - No Promo Used
154762,37037,348,348,298,30,20,Z - No Promo Used
154766,599229,90.5,90.5,83,0,7.5,Z - No Promo Used
154767,414605,2000,1800,1800,180,20,JOMTREVO50
154771,212329,180,146,170,0,10,DRIVEON20
154777,715046,787,787,777,0,10,Z - No Promo Used
154778,553442,195,156,195,0,0,DRIVEON20
154780,144791,134,116.15,119,0,15,DRIVEON15
154781,341824,580,380,550,0,30,JOMTREVO50
154788,710532,310,310,300,0,10,Z - No Promo Used
154791,715541,89,77.9,74,0,15,DRIVEON15
154792,193763,119,104.15,99,0,20,DRIVEON15
154794,46945,100,86.5,90,0,10,DRIVEON15
154796,713637,1330,1180,1320,0,10,DRIVEON20
154797,111325,100,100,100,0,0,Z - No Promo Used
154801,388703,760,610,750,0,10,DRIVEON20
154802,70127,911,911,891,0,20,Z - No Promo Used
154806,116238,318,258.4,298,0,20,DRIVEON20
154807,714784,455,365,450,0,5,DRIVEON20
154808,407267,742,595.6,732,0,10,DRIVEON20
154812,448403,217.5,175.5,210,0,7.5,DRIVEON20
154820,326037,148,127.3,138,0,10,DRIVEON15
154823,632872,670,470,660,0,10,JOMTREVO50
154826,711527,139.5,139.5,132,0,7.5,Z - No Promo Used
154830,678789,195,195,190,0,5,Z - No Promo Used
154838,714747,103,103,98,0,5,Z - No Promo Used
154839,702731,240,198,210,0,30,DRIVEON20
154845,636438,600,360,600,0,0,BEGIN40
154847,474523,600,360,600,0,0,BEGIN40
154848,200961,310,220,300,0,10,DRIVEON30
154850,710001,455,367,440,0,15,DRIVEON20
154853,2695,650,400,650,0,0,BEGIN40
154854,163438,1033,783,1023,0,10,BEGIN40
154856,694815,226,182.8,216,0,10,DRIVEON20
154859,631124,550,330,550,0,0,BEGIN40
154860,493044,545,327,545,0,0,BEGIN40
154862,493044,545,327,545,0,0,BEGIN40
154863,618387,550,330,550,0,0,BEGIN40
154864,15592,600,360,600,0,0,BEGIN40
154868,314486,87,75.45,77,0,10,DRIVEON15
154869,15136,700,450,700,0,0,BEGIN40
154872,314486,87,87,77,0,10,Z - No Promo Used
154873,626841,470,270,450,0,20,JOMTREVO50
154874,701023,261,191.7,231,0,30,DRIVEON30
154875,240156,70,70,55,0,15,Z - No Promo Used
154876,713185,450,270,450,0,0,BEGIN40
154878,170657,195,159,180,0,15,DRIVEON20
154880,56801,1190,1040,1190,0,0,DRIVEON15
154881,627740,60,60,60,0,0,Z - No Promo Used
154884,700232,346,346,326,0,20,Z - No Promo Used
154885,702866,390,276,380,0,10,DRIVEON30
154889,86890,228,182.4,228,0,0,DRIVEON20
154890,148476,220,220,210,0,10,Z - No Promo Used
154891,198074,550,330,550,0,0,BEGIN40
154895,219595,164,89.5,149,0,15,HOLIYAY50
154901,69295,340,241,330,0,10,BEGIN30
154905,480571,321,224.7,321,0,0,DRIVEON30
154910,68154,251,204.8,231,0,20,DRIVEON20
154916,651887,274,221.2,264,0,10,DRIVEON20
154917,653234,279,199.8,264,0,15,DRIVEON30
154922,67742,340,175,330,0,10,HELLOIPOH50
154925,154552,127,127,127,0,0,Z - No Promo Used
154932,585923,770,520,760,0,10,BEGIN40
154943,605182,114,99.15,99,0,15,DRIVEON15
154947,716642,223.5,223.5,216,0,7.5,Z - No Promo Used
154948,94461,372,253,357,0,15,TLAZ1DB
154952,708587,198,198,188,0,10,Z - No Promo Used
154956,124202,449,234.5,429,0,20,HOLIYAY50
154961,303905,163,163,148,0,15,Z - No Promo Used
154969,24779,467,288.2,447,0,20,BEGIN40
154970,50236,180,147,165,0,15,DRIVEON20
154973,484754,73.5,53.7,66,0,7.5,JOMTREVO30
154974,203352,143,113,143,0,0,LUVTREVO
154977,611340,392,198.5,387,0,5,JOMTREVO50
154980,105048,313,223.6,298,0,15,DRIVEON30
154983,632872,340,175,330,0,10,HOLIYAY50
154986,201377,315,315,300,0,15,Z - No Promo Used
154988,57373,83,83,83,0,0,Z - No Promo Used
154994,115292,221,156.2,216,0,5,DRIVEON30
154997,379873,471,404.85,441,0,30,DRIVEON15
155001,445726,126,107.85,121,0,5,DRIVEON15
155002,702490,120,120,110,0,10,Z - No Promo Used
155005,400167,390,314,380,0,10,DRIVEON20
155008,698403,230,230,220,0,10,Z - No Promo Used
155010,191913,667,417,652,0,15,BEGIN40
155011,614026,235,191,220,0,15,DRIVEON20
155015,645597,514,312.4,504,0,10,BEGIN40
155019,195311,50,35,50,0,0,PTREVO30
155022,3117,355,287,340,0,15,DRIVEON20
155025,461554,220,220,190,0,30,Z - No Promo Used
155037,717291,109,109,89,0,20,Z - No Promo Used
155041,456398,794,644,784,0,10,DRIVEON20
155043,545796,416,416,396,0,20,Z - No Promo Used
155044,696346,277.5,223.5,270,0,7.5,DRIVEON20
155051,526076,685,485,675,0,10,JOMTREVO50
155052,219943,433,265.8,418,0,15,BEGIN40
155053,561580,306,158,296,0,10,JOMTREVO50
155054,588042,175,92.5,165,0,10,JOMTREVO50
155058,690789,120,120,105,0,15,Z - No Promo Used
155061,88177,170,138,160,0,10,DRIVEON20
155063,198074,550,330,550,0,0,BEGIN40
155068,64278,140,120.5,130,0,10,DRIVEON15
155069,31695,104,89.9,94,0,10,DRIVEON15
155071,252818,420,210,420,0,0,HOLIYAY50
155073,277923,146,126.35,131,0,15,DRIVEON15
155074,625117,187.5,133.5,180,0,7.5,JOMTREVO30
155076,68184,298,298,298,0,0,Z - No Promo Used
155077,495831,480,280,480,0,0,JOMTREVO50
155079,634209,162,140.7,142,0,20,DRIVEON15
155081,602401,834,584,814,0,20,BEGIN40
155082,700194,150,150,140,0,10,Z - No Promo Used
155083,39195,600,360,600,0,0,BEGIN40
155084,205376,375,300,375,0,0,DRIVEON20
155085,680832,450,250,440,0,10,JOMTREVO50
155093,715918,57.5,57.5,50,0,7.5,Z - No Promo Used
155100,708146,147,127.2,132,0,15,DRIVEON15
155101,417937,175,145,150,0,25,DRIVEON20
155102,480231,340,177.5,325,0,15,JOMTREVO50
155103,263458,105,91.5,90,0,15,DRIVEON15
155105,628553,81,71.1,66,0,15,DRIVEON15
155107,319352,270,218,260,0,10,DRIVEON20
155109,666000,477,387.6,447,0,30,DRIVEON20
155112,38030,742,492,732,0,10,BEGIN40
155117,575328,761,511,756,0,5,BEGIN40
155118,414395,499,352.3,489,0,10,DRIVEON30
155121,542528,150,150,135,0,15,Z - No Promo Used
155122,448403,80,69.5,70,0,10,DRIVEON15
155128,683423,169,138.2,154,0,15,DRIVEON20
155137,653541,287,287,267,0,20,Z - No Promo Used
155141,698403,230,230,220,0,10,Z - No Promo Used
155142,37243,187.5,151.5,180,0,7.5,DRIVEON20
155145,718852,228,228,228,0,0,Z - No Promo Used
155148,16937,324,265.2,294,0,30,DRIVEON20
155151,649079,372,301.6,352,0,20,DRIVEON20
155152,9318,264.5,220.5,220,22,22.5,DRIVEON20
155154,22267,279,199.8,264,0,15,BEGIN30
155163,718660,254,254,254,0,0,Z - No Promo Used
155165,96801,420,339,405,0,15,DRIVEON20
155167,578833,470,286,460,0,10,BEGIN40
155168,670313,231,187.8,216,0,15,DRIVEON20
155170,66088,206,166.8,196,0,10,DRIVEON20
155172,594682,527,322.2,512,0,15,BEGIN40
155177,27408,1590,1440,1580,0,10,DRIVEON20
155182,22212,658,528.4,648,0,10,DRIVEON20
155187,25867,440,264,440,0,0,BEGIN40
155190,246126,159,159,149,0,10,Z - No Promo Used
155194,592627,93,93,78,0,15,Z - No Promo Used
155198,221972,98,84.8,88,0,10,DRIVEON15
155200,712923,626,387.6,596,0,30,TLAZ40
155203,678695,81,71.1,66,0,15,DRIVEON15
155206,326189,546,327.6,546,0,0,BEGIN40
155208,76400,198,198,188,0,10,Z - No Promo Used
155209,30047,230,186,220,0,10,DRIVEON20
155210,101782,100,87.25,85,0,15,DRIVEON15
155214,623504,325,230.5,315,0,10,BEGIN30
155215,553442,195,156,195,0,0,DRIVEON20
155216,50621,87,87,77,0,10,Z - No Promo Used
155218,541743,322.5,172.5,300,0,22.5,JOMTREVO50
155222,567948,890,640,860,0,30,BEGIN40
155224,516433,360,360,345,0,15,Z - No Promo Used
155227,697762,116,101.6,96,0,20,DRIVEON15
155229,215017,154,123.2,154,0,0,DRIVEON20
155234,90619,125,108.5,110,0,15,DRIVEON15
155241,526146,1087.5,1087.5,1072.5,0,15,Z - No Promo Used
155257,66386,427,264.2,407,0,20,BEGIN40
155258,359833,165,135,150,0,15,DRIVEON20
155261,512218,554,447.2,534,0,20,DRIVEON20
155264,517202,135,135,125,0,10,Z - No Promo Used
155266,719632,66,56.1,66,0,0,DRIVEON15
155267,2695,650,400,650,0,0,BEGIN40
155268,567458,209,170.2,194,0,15,DRIVEON20
155270,645759,230,120,220,0,10,JOMTREVO50
155273,474523,600,360,600,0,0,BEGIN40
155276,598230,1608,1408,1603,0,5,JOMTREVO50
155277,599098,1150,950,1145,0,5,JOMTREVO50
155278,636438,600,360,600,0,0,BEGIN40
155285,713185,450,270,450,0,0,BEGIN40
155295,719731,240.5,196.9,218,0,22.5,DRIVEON20
155302,691492,346,280.8,326,0,20,DRIVEON20
155304,15592,600,360,600,0,0,BEGIN40
155305,714179,1130,980,1100,0,30,DRIVEON20
155307,716522,375,375,345,0,30,Z - No Promo Used
155309,32160,472,283.2,472,0,0,BEGIN40
155311,32160,472,283.2,472,0,0,BEGIN40
155312,15136,700,450,700,0,0,BEGIN40
155313,101968,532,327.2,512,0,20,BEGIN40
155319,719877,279,226.2,264,0,15,DRIVEON20
155324,712209,154,154,149,0,5,Z - No Promo Used
155325,341954,218,174.4,218,0,0,DRIVEON20
155351,182044,95,82.25,85,0,10,DRIVEON15
155352,702691,272.5,233.5,260,0,12.5,DRIVEON15
155353,719823,125,125,125,0,0,Z - No Promo Used
155355,591871,197,157.6,197,0,0,DRIVEON20
155360,631124,550,330,550,0,0,BEGIN40
155365,560004,535,335,525,0,10,JOMTREVO50
155366,618387,550,330,550,0,0,BEGIN40
155367,389986,120,120,120,0,0,Z - No Promo Used
155368,718037,460,372,440,0,20,DRIVEON20
155371,703707,784,784,774,0,10,Z - No Promo Used
155372,25099,240,168,240,0,0,DRIVEON30
155373,335,607,370.2,592,0,15,BEGIN40
155377,87116,296,207.2,296,0,0,BEGIN30
155379,690676,301,301,286,0,15,Z - No Promo Used
155380,87116,444,266.4,444,0,0,BEGIN40
155381,587555,199,109.5,179,0,20,JOMTREVO50
155389,493044,545,327,545,0,0,BEGIN40
155390,61098,114,114,94,0,20,Z - No Promo Used
155392,383807,345,172.5,345,0,0,JOMTREVO50
155396,268894,169,169,149,0,20,Z - No Promo Used
155401,170693,415,255,400,0,15,BEGIN40
155402,76270,92,80.45,77,0,15,DRIVEON15
155404,374546,491.5,249.5,484,0,7.5,HOLIYAY50
155413,44527,102,102,77,0,25,Z - No Promo Used
155424,579543,76,76,66,0,10,Z - No Promo Used
155428,700796,150,127.5,150,0,0,DRIVEON15
155430,685476,750,601,745,0,5,DRIVEON20
155432,518366,135,135,120,0,15,Z - No Promo Used
155433,356381,60,60,60,0,0,Z - No Promo Used
155441,684929,127.5,127.5,120,0,7.5,Z - No Promo Used
155444,717896,109,109,85,9,15,Z - No Promo Used
155454,111815,107.5,93.25,95,0,12.5,DRIVEON15
155456,714703,410,410,380,0,30,Z - No Promo Used
155461,263941,228,188.4,198,0,30,DRIVEON20
155463,719423,175,143,160,0,15,DRIVEON20
155466,364293,121.5,67,109,0,12.5,HOLIYAY50
155470,41478,115,100,100,0,15,DRIVEON15
155472,37884,105,90.75,95,0,10,DRIVEON15
155474,25867,440,264,440,0,0,BEGIN40
155475,111380,446,358.8,436,0,10,DRIVEON20
155476,716706,99,99,99,0,0,Z - No Promo Used
155478,248669,640,390,630,0,10,BEGIN40
155485,443866,136,61,121,0,15,TLAZE75
155486,27425,85,73.75,75,0,10,DRIVEON15
155487,520307,655.5,525.9,648,0,7.5,DRIVEON20
155493,665356,106.5,91.65,99,0,7.5,DRIVEON15
155497,99175,66,66,66,0,0,Z - No Promo Used
155503,298531,126.5,108.65,119,0,7.5,DRIVEON15
155504,104878,262.5,214.5,240,0,22.5,DRIVEON20
155508,422779,145,77.5,135,0,10,JOMTREVO50
155511,713266,183.5,183.5,176,0,7.5,Z - No Promo Used
155516,111599,290,152.5,275,0,15,HOLIYAY50
155519,89400,146,125.6,136,0,10,DRIVEON15
155520,448921,202,108.5,187,0,15,JOMTREVO50
155525,64656,200,200,200,0,0,Z - No Promo Used
155533,565566,755,555,745,0,10,JOMTREVO50
155535,198074,550,330,550,0,0,BEGIN40
155538,721193,300,300,285,0,15,Z - No Promo Used
155549,454788,505,505,475,0,30,Z - No Promo Used
155558,624318,150,120,150,0,0,DRIVEON20
155559,721506,337.5,274.5,315,0,22.5,DRIVEON20
155561,682,226,151,216,0,10,TLAZE75
155562,703950,470,382,440,0,30,DRIVEON20
155563,721619,72.5,63.5,60,0,12.5,DRIVEON15
155564,3626,335,236,330,0,5,BEGIN30
155567,473971,175,175,160,0,15,Z - No Promo Used
155568,473971,175,175,160,0,15,Z - No Promo Used
155571,718492,312,312,297,0,15,Z - No Promo Used
155573,217771,105,90.75,95,0,10,DRIVEON15
155574,572416,250,130,240,0,10,JOMTREVO50
155578,711527,132,132,132,0,0,Z - No Promo Used
155588,602057,456,273.6,456,0,0,BEGIN40
155591,248762,92,80.45,77,0,15,DRIVEON15
155597,426848,175,142,165,0,10,DRIVEON20
155602,23573,96,84.9,74,7,15,DRIVEON15
155603,326037,145.5,124.8,138,0,7.5,DRIVEON15
155611,608881,540,330,525,0,15,BEGIN40
155614,180876,89,75.65,89,0,0,DRIVEON15
155618,672972,585,357,570,0,15,BEGIN40
155620,37884,109,94.9,94,0,15,DRIVEON15
155621,87262,403.5,205.5,396,0,7.5,HOLIYAY50
155625,13381,106.5,106.5,89,0,17.5,Z - No Promo Used
155630,564734,120,87,110,0,10,DRIVEON30
155636,2695,650,400,650,0,0,BEGIN40
155644,15592,600,360,600,0,0,BEGIN40
155651,15136,700,450,700,0,0,BEGIN40
155654,143541,380,307,365,0,15,DRIVEON20
155667,448754,546,346,536,0,10,JOMTREVO50
155671,232940,465,285,450,0,15,BEGIN40
155675,578833,465,281,460,0,5,BEGIN40
155688,722556,250.5,250.5,238,0,12.5,Z - No Promo Used
155690,417139,1265,1015,1250,0,15,BEGIN40
155691,613617,160,160,150,0,10,Z - No Promo Used
155694,50236,180,147,165,0,15,DRIVEON20
155696,566623,125,70,110,0,15,JOMTREVO50
155698,54067,585,355,575,0,10,BEGIN40
155701,470179,607.5,487.5,600,0,7.5,DRIVEON20
155707,152445,462,238.5,447,0,15,HOLIYAY50
155717,19849,170,147.5,150,0,20,DRIVEON15
155718,707610,253,205.4,238,0,15,DRIVEON20
155720,722834,304,245.2,294,0,10,DRIVEON20
155722,600080,240,240,230,0,10,Z - No Promo Used
155724,301230,180,180,180,0,0,Z - No Promo Used
155729,588016,143,93,128,0,15,FRIENDSHIP50
155735,722635,287,206.9,267,0,20,DRIVEON30
155740,255569,675,425,660,0,15,BEGIN40
155742,573751,134,84,119,0,15,FRIENDSHIP50
155744,722834,98,48,88,0,10,FRIENDSHIP50
155746,42976,188,188,188,0,0,Z - No Promo Used
155751,468581,1538,1338,1538,0,0,JOMTREVO50
155756,713185,450,270,450,0,0,BEGIN40
155764,474523,600,360,600,0,0,BEGIN40
155767,618387,550,330,550,0,0,BEGIN40
155770,631124,550,330,550,0,0,BEGIN40
155775,656680,209,159,209,0,0,FRIENDSHIP50
155778,88928,180,146,170,0,10,DRIVEON20
155780,102131,670,420,650,0,20,BEGIN40
155789,517202,144,144,129,0,15,Z - No Promo Used
155795,389064,110,55,110,0,0,JOMTREVO50
155800,70540,138,108,138,0,0,LUVTREVO
155802,702010,563.5,452.3,556,0,7.5,DRIVEON20
155804,23605,100,87.25,85,0,15,DRIVEON15
155807,26153,314,251.2,314,0,0,DRIVEON20
155809,61770,383,309.4,368,0,15,DRIVEON20
155812,723275,164,164,149,0,15,Z - No Promo Used
155816,403397,400,205,390,0,10,JOMTREVO50
155820,593612,60,60,55,0,5,Z - No Promo Used
155821,554053,640,440,630,0,10,JOMTREVO50
155822,499762,500,252.5,495,0,5,HOLIYAY50
155824,636438,600,360,600,0,0,BEGIN40
155826,596064,220,170,210,0,10,FRIENDSHIP50
155828,700074,95,82.25,85,0,10,DRIVEON15
155832,723607,246,211.35,231,0,15,DRIVEON15
155833,504543,260,130,260,0,0,HOLIYAY50
155835,491405,1330,1130,1320,0,10,JOMTREVO50
155839,721126,154,154,144,0,10,Z - No Promo Used
155843,279703,130,70,120,0,10,HOLIYAY50
155848,53188,81,81,71,0,10,Z - No Promo Used
155880,382859,375,202.5,345,0,30,JOMTREVO50
155890,268894,169,169,149,0,20,Z - No Promo Used
155891,224711,685,435,675,0,10,HOLIYAY50
155896,467401,340,241,330,0,10,BEGIN30
155900,660387,150,150,140,0,10,Z - No Promo Used
155903,485235,230,230,220,0,10,Z - No Promo Used
155904,655375,528,528,528,0,0,Z - No Promo Used
155915,699841,119,101.15,119,0,0,DRIVEON15
155918,720033,365,295,350,0,15,DRIVEON20
155920,34949,429,257.4,429,0,0,BEGIN40
155923,489225,210,170,200,0,10,DRIVEON20
155924,50118,73.5,63.6,66,0,7.5,DRIVEON15
155927,621735,218,109,218,0,0,JOMTREVO50
155929,629191,60,52.5,50,0,10,DRIVEON15
155938,718941,972,972,952,0,20,Z - No Promo Used
155943,708587,287,287,282,0,5,Z - No Promo Used
155946,559359,213,173.4,198,0,15,DRIVEON20
155947,472329,760,510,730,0,30,BEGIN40
155948,20193,175,143,160,0,15,DRIVEON20
155950,209632,1724.5,1724.5,1714.5,0,10,Z - No Promo Used
155955,35828,125,108.5,110,0,15,DRIVEON15
155957,37884,105,90.75,95,0,10,DRIVEON15
155965,717926,660,530,650,0,10,DRIVEON20
155968,92068,112.5,112.5,105,0,7.5,Z - No Promo Used
155969,386915,345,172.5,345,0,0,JOMTREVO50
155974,189031,660,530,650,0,10,DRIVEON20
